Time,PressureIn,PressureOut,PressureDifference
2022-05-26 08:33:05.309, START 
2022-05-26 08:33:14.000,-0.12,-0.15,-0.04
2022-05-26 08:33:24.104,-0.08,-0.15,-0.07
2022-05-26 08:33:34.119,-0.12,-0.15,-0.04
2022-05-26 08:33:44.133,-0.12,-0.15,-0.04
2022-05-26 08:33:54.148,-0.12,-0.19,-0.07
2022-05-26 08:34:04.162,-0.12,-0.15,-0.04
2022-05-26 08:34:14.177,-0.12,-0.19,-0.07
2022-05-26 08:34:24.191,-0.12,-0.19,-0.07
2022-05-26 08:34:34.206,-0.12,-0.15,-0.04
2022-05-26 08:34:44.221,-0.12,-0.15,-0.04
2022-05-26 08:34:54.235,-0.12,-0.15,-0.04
2022-05-26 08:35:04.247,-0.08,-0.15,-0.07
2022-05-26 08:35:14.262,-0.08,-0.15,-0.07
2022-05-26 08:35:24.277,-0.12,-0.19,-0.07
2022-05-26 08:35:34.291,-0.12,-0.19,-0.07
2022-05-26 08:35:44.306,-0.08,-0.15,-0.07
2022-05-26 08:35:54.320,-0.12,-0.15,-0.04
2022-05-26 08:36:04.335,-0.08,-0.15,-0.07
2022-05-26 08:36:14.349,-0.08,-0.15,-0.07
2022-05-26 08:36:24.364,-0.08,-0.19,-0.11
2022-05-26 08:36:34.378,-0.08,-0.15,-0.07
2022-05-26 08:36:44.393,-0.12,-0.15,-0.04
2022-05-26 08:36:54.408,-0.12,-0.15,-0.04
2022-05-26 08:37:04.426,-0.12,-0.15,-0.04
2022-05-26 08:37:14.440,-0.08,-0.15,-0.07
2022-05-26 08:37:24.454,-0.08,-0.15,-0.07
2022-05-26 08:37:34.469,-0.08,-0.15,-0.07
2022-05-26 08:37:44.483,-0.08,-0.15,-0.07
2022-05-26 08:37:54.499,-0.08,-0.15,-0.07
2022-05-26 08:38:04.514,-0.08,-0.15,-0.07
2022-05-26 08:38:14.528,-0.08,-0.15,-0.07
2022-05-26 08:38:24.543,-0.08,-0.15,-0.07
2022-05-26 08:38:34.557,-0.12,-0.15,-0.04
2022-05-26 08:38:44.572,-0.08,-0.15,-0.07
2022-05-26 08:38:54.586,-0.08,-0.15,-0.07
2022-05-26 08:39:04.604,-0.08,-0.15,-0.07
2022-05-26 08:39:14.619,-0.08,-0.15,-0.07
2022-05-26 08:39:24.633,-0.08,-0.15,-0.07
2022-05-26 08:39:34.648,-0.12,-0.15,-0.04
2022-05-26 08:39:44.662,-0.08,-0.15,-0.07
2022-05-26 08:39:54.677,-0.08,-0.15,-0.07
2022-05-26 08:40:04.692,-0.08,-0.11,-0.04
2022-05-26 08:40:14.707,-0.12,-0.15,-0.04
2022-05-26 08:40:24.722,-0.08,-0.15,-0.07
2022-05-26 08:40:34.736,-0.08,-0.15,-0.07
2022-05-26 08:40:44.751,-0.08,-0.15,-0.07
2022-05-26 08:40:54.765,-0.08,-0.15,-0.07
2022-05-26 08:41:04.784,-0.08,-0.11,-0.04
2022-05-26 08:41:14.798,-0.08,-0.15,-0.07
2022-05-26 08:41:24.813,-0.08,-0.15,-0.07
2022-05-26 08:41:34.827,-0.08,-0.15,-0.07
2022-05-26 08:41:44.842,-0.08,-0.15,-0.07
2022-05-26 08:41:54.857,-0.08,-0.11,-0.04
2022-05-26 08:42:04.871,-0.08,-0.11,-0.04
2022-05-26 08:42:14.886,-0.08,-0.15,-0.07
2022-05-26 08:42:24.900,-0.04,-0.11,-0.07
2022-05-26 08:42:34.915,-0.08,-0.15,-0.07
2022-05-26 08:42:44.929,-0.08,-0.15,-0.07
2022-05-26 08:42:54.944,-0.08,-0.15,-0.07
2022-05-26 08:43:04.962,-0.04,-0.11,-0.07
2022-05-26 08:43:14.976,-0.08,-0.15,-0.07
2022-05-26 08:43:24.991,-0.08,-0.15,-0.07
2022-05-26 08:43:35.005,-0.08,-0.15,-0.07
2022-05-26 08:43:45.020,-0.08,-0.15,-0.07
2022-05-26 08:43:55.034,-0.08,-0.11,-0.04
2022-05-26 08:44:05.049,-0.08,-0.11,-0.04
2022-05-26 08:44:15.063,-0.04,-0.15,-0.11
2022-05-26 08:44:25.078,-0.08,-0.15,-0.07
2022-05-26 08:44:35.093,-0.08,-0.15,-0.07
2022-05-26 08:44:45.107,-0.08,-0.15,-0.07
2022-05-26 08:44:55.122,-0.08,-0.15,-0.07
2022-05-26 08:45:05.140,-0.08,-0.15,-0.07
2022-05-26 08:45:15.155,-0.04,-0.15,-0.11
2022-05-26 08:45:25.169,-0.08,-0.15,-0.07
2022-05-26 08:45:35.184,-0.08,-0.15,-0.07
2022-05-26 08:45:45.198,-0.04,-0.11,-0.07
2022-05-26 08:45:55.213,-0.08,-0.15,-0.07
2022-05-26 08:46:05.227,-0.08,-0.15,-0.07
2022-05-26 08:46:15.242,-0.08,-0.15,-0.07
2022-05-26 08:46:25.256,-0.08,-0.15,-0.07
2022-05-26 08:46:35.271,-0.08,-0.15,-0.07
2022-05-26 08:46:45.285,-0.08,-0.15,-0.07
2022-05-26 08:46:55.300,-0.08,-0.15,-0.07
2022-05-26 08:47:05.319,-0.04,-0.11,-0.07
2022-05-26 08:47:15.333,-0.04,-0.11,-0.07
2022-05-26 08:47:25.348,-0.08,-0.15,-0.07
2022-05-26 08:47:35.362,-0.08,-0.15,-0.07
2022-05-26 08:47:45.377,-0.08,-0.11,-0.04
2022-05-26 08:47:55.391,-0.04,-0.15,-0.11
2022-05-26 08:48:05.406,-0.04,-0.15,-0.11
2022-05-26 08:48:15.421,-0.04,-0.15,-0.11
2022-05-26 08:48:25.436,-0.08,-0.15,-0.07
2022-05-26 08:48:35.451,-0.04,-0.11,-0.07
2022-05-26 08:48:45.465,-0.08,-0.15,-0.07
2022-05-26 08:48:55.480,-0.04,-0.15,-0.11
2022-05-26 08:49:05.496,-0.08,-0.11,-0.04
2022-05-26 08:49:15.510,-0.04,-0.11,-0.07
2022-05-26 08:49:25.525,-0.04,-0.15,-0.11
2022-05-26 08:49:35.539,-0.08,-0.11,-0.04
2022-05-26 08:49:45.554,-0.08,-0.11,-0.04
2022-05-26 08:49:55.568,-0.08,-0.11,-0.04
2022-05-26 08:50:05.583,-0.04,-0.11,-0.07
2022-05-26 08:50:15.597,-0.04,-0.15,-0.11
2022-05-26 08:50:25.612,-0.04,-0.11,-0.07
2022-05-26 08:50:35.626,-0.04,-0.11,-0.07
2022-05-26 08:50:45.641,-0.04,-0.11,-0.07
2022-05-26 08:50:55.655,-0.04,-0.11,-0.07
2022-05-26 08:51:05.674,-0.04,-0.11,-0.07
2022-05-26 08:51:15.688,-0.04,-0.15,-0.11
2022-05-26 08:51:25.703,-0.04,-0.11,-0.07
2022-05-26 08:51:35.718,-0.04,-0.11,-0.07
2022-05-26 08:51:45.732,-0.08,-0.11,-0.04
2022-05-26 08:51:55.747,-0.08,-0.11,-0.04
2022-05-26 08:52:05.761,-0.04,-0.11,-0.07
2022-05-26 08:52:15.776,-0.08,-0.11,-0.04
2022-05-26 08:52:25.790,-0.04,-0.11,-0.07
2022-05-26 08:52:35.805,-0.04,-0.11,-0.07
2022-05-26 08:52:45.819,0,-0.11,-0.11
2022-05-26 08:52:55.834,-0.08,-0.11,-0.04
2022-05-26 08:53:05.852,-0.04,-0.11,-0.07
2022-05-26 08:53:15.866,-0.04,-0.11,-0.07
2022-05-26 08:53:25.881,-0.08,-0.15,-0.07
2022-05-26 08:53:35.896,-0.04,-0.11,-0.07
2022-05-26 08:53:45.910,0,-0.11,-0.11
2022-05-26 08:53:55.925,-0.08,-0.11,-0.04
2022-05-26 08:54:05.939,-0.04,-0.11,-0.07
2022-05-26 08:54:15.954,-0.04,-0.11,-0.07
2022-05-26 08:54:25.968,-0.04,-0.11,-0.07
