Time,PressureIn,PressureOut,PressureDifference
2022-03-03 15:49:14.596905,0.00,0.00,0.00
2022-03-03 15:49:15.600897,0.04,0.00,-0.04
2022-03-03 15:49:16.609767,0.04,0.00,-0.04
2022-03-03 15:49:17.621001,0.04,0.00,-0.04
2022-03-03 15:49:18.625189,0.04,0.00,-0.04
2022-03-03 15:49:19.635564,0.04,0.00,-0.04
2022-03-03 15:49:20.647757,0.04,0.00,-0.04
2022-03-03 15:49:21.664336,0.04,0.00,-0.04
2022-03-03 15:49:22.674526,0.04,0.00,-0.04
2022-03-03 15:49:23.689060,0.04,0.00,-0.04
2022-03-03 15:49:24.690652,0.04,0.00,-0.04
2022-03-03 15:49:25.695355,0.04,0.00,-0.04
2022-03-03 15:49:26.701193,0.04,0.00,-0.04
2022-03-03 15:49:27.715569,0.04,0.00,-0.04
2022-03-03 15:49:28.733847,0.07,0.00,-0.07
2022-03-03 15:49:29.763796,0.04,0.00,-0.04
2022-03-03 15:49:30.777751,0.04,0.00,-0.04
2022-03-03 15:49:31.794305,0.07,0.00,-0.07
2022-03-03 15:49:32.804247,0.04,0.00,-0.04
2022-03-03 15:49:33.817523,0.04,0.00,-0.04
2022-03-03 15:49:34.833806,0.04,0.00,-0.04
2022-03-03 15:49:35.847095,0.04,0.00,-0.04
2022-03-03 15:49:36.849416,0.07,0.00,-0.07
2022-03-03 15:49:48.905666,0.04,0.00,-0.04
2022-03-03 15:49:49.910904,0.07,0.00,-0.07
2022-03-03 15:49:50.920069,0.07,0.00,-0.07
2022-03-03 15:49:51.930392,0.07,0.00,-0.07
2022-03-03 15:49:52.944629,0.04,0.00,-0.04
2022-03-03 15:49:53.946673,0.04,0.00,-0.04
Time,PressureIn,PressureOut,PressureDifference
2022-03-03 15:49:57.980161,0.07,0.00,-0.07
2022-03-03 15:49:58.985994,0.04,0.00,-0.04
2022-03-03 15:49:59.990447,0.11,0.00,-0.11
2022-03-03 15:50:01.003720,0.04,0.00,-0.04
2022-03-03 15:50:02.008904,0.04,0.00,-0.04
2022-03-03 15:50:03.025767,0.00,0.00,0.00
